tvd_threshold,chi_alpha,fp_count,tp_count,fn_count,tn_count,fp_rate (%),tp_rate (%),precision,recall,f1_score
0.02,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.03,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.04,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.05,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.055,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.06,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.07,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.02,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.03,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.04,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.05,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.055,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
